Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0033,0.0027,0.0004,-0.0018,0.0085,-0.0056
1,0.001,0.0003,0.0015,0.0061,-0.0021,-0.0008,-0.0027
2,0.002,0.002,-0.0048,0.0085,-0.0011,0.0008,0.0053
3,0.003,-0.0019,0.0036,0.0066,0.0012,0.0053,0.0028
4,0.004,-0.0013,-0.0041,0.0011,-0.0038,0.0011,-0.0038
5,0.005,-0.0016,-0.0011,0.0035,-0.0058,0.0022,-0.0019
6,0.006,-0.0027,-0.0019,0.0044,-0.0028,0.0011,0.0073
7,0.007,-0.0015,-0.0027,0.0016,-0.0057,0.0164,0.0088
8,0.008,0.0002,-0.0033,-0.0022,-0.0031,0.0008,0.0132
9,0.009,-0.0034,0.0016,0.0047,-0.0009,0.0066,0.0144
10,0.01,-0.0021,-0.0001,0.0076,-0.003,0.0083,0.008
11,0.011,-0.0016,0.0016,-0.0016,0.0012,0.0097,0.0088
12,0.012,-0.0012,0.001,-0.0025,-0.0016,0.0109,0.0096
13,0.013,0.0006,-0.005,0.0032,-0.0031,0.0011,0.0031
14,0.014,-0.001,-0.0041,-0.0019,-0.001,-0.0027,0.0038
15,0.015,-0.0016,0.0028,0.001,0.0011,0.0027,-0.0063
16,0.016,0.0009,-0.0035,0.0054,0.0007,-0.0087,-0.0133
17,0.017,-0.0007,0.0007,0.0019,-0.0032,0.0018,-0.0096
18,0.018,0.0019,-0,0,0.0025,-0.0023,-0.0019
19,0.019,-0.0025,0.0007,0.0019,-0.0012,-0.006,-0.003
20,0.02,0.0033,0.0012,-0.0008,0.0008,-0.0005,0.0033
21,0.021,0.0013,-0.0017,-0.0021,0.0013,-0.0099,0.0024
22,0.022,0.0007,0.0008,0.0002,-0.0027,0.0063,-0.0061
23,0.023,0.0013,0.002,0.0024,-0.0002,0.0082,-0.003
24,0.024,-0.005,0.0032,0.0029,0.001,0.0141,0.0043
25,0.025,0.0029,0.0006,0.0013,0.0013,0.0085,0.0148
26,0.026,-0.0042,0.0023,0.0005,-0.0006,0.0034,0.0138
27,0.027,-0.0014,-0.0001,0.0013,0.0011,0.0108,0.0198
28,0.028,-0.0038,-0.0007,-0.0019,0.0021,-0.0018,0.0118
29,0.029,-0.0015,0.0031,-0.0006,-0.0005,0.0064,0.0001
30,0.03,-0.0034,0.0003,-0.0001,0.0019,-0.0043,0.0015
31,0.031,-0.0016,0.0018,0.0003,0.0056,-0.0003,-0.0083
32,0.032,-0.002,-0.0012,-0.0034,0.0034,-0.0016,-0.0047
33,0.033,-0.0004,0.0008,-0.0048,0.0053,-0.0072,-0.0039
34,0.034,-0.0014,-0.001,0.0014,0.0028,-0.0082,0.0011
